feature,CV,R,unit,diameter_nm,subgroup
M_LDL_C,0.045,0.89,mmol/l,23,Medium LDL
M_LDL_CE,0.045899999999999996,0.89,mmol/l,23,Medium LDL
M_LDL_FC,0.0451,0.88,mmol/l,23,Medium LDL
M_LDL_TG,0.036699999999999997,0.92,mmol/l,23,Medium LDL
S_LDL_P,0.0273,0.93,mmol/l,7,Small LDL
S_LDL_L,0.0291,0.92,mmol/l,7,Small LDL
S_LDL_PL,0.0233,0.94,mmol/l,7,Small LDL
S_LDL_C,0.0339,0.91,mmol/l,7,Small LDL
S_LDL_CE,0.0346,0.91,mmol/l,7,Small LDL
S_LDL_FC,0.0354,0.92,mmol/l,7,Small LDL
S_LDL_TG,0.0308,0.95,mmol/l,7,Small LDL
XL_HDL_P,0.029300000000000003,0.97,mmol/l,3,Very large HDL
XL_HDL_L,0.04190000000000001,0.97,mmol/l,3,Very large HDL
XL_HDL_PL,0.0679,0.97,mmol/l,3,Very large HDL
XL_HDL_C,0.0313,0.98,mmol/l,3,Very large HDL
XL_HDL_CE,0.032400000000000005,0.98,mmol/l,3,Very large HDL
XL_HDL_FC,0.0381,0.94,mmol/l,3,Very large HDL
XL_HDL_TG,0.0388,0.94,mmol/l,3,Very large HDL
L_HDL_P,0.0366,0.98,mmol/l,1,Large HDL
L_HDL_L,0.0315,0.98,mmol/l,1,Large HDL
L_HDL_PL,0.0323,0.97,mmol/l,1,Large HDL
L_HDL_C,0.0355,0.98,mmol/l,1,Large HDL
L_HDL_CE,0.0362,0.98,mmol/l,1,Large HDL
L_HDL_FC,0.0377,0.98,mmol/l,1,Large HDL
L_HDL_TG,0.0481,0.94,mmol/l,1,Large HDL
M_HDL_P,0.0358,0.89,mmol/l,9,Medium HDL
M_HDL_L,0.032400000000000005,0.89,mmol/l,9,Medium HDL
M_HDL_PL,0.029500000000000002,0.9,mmol/l,9,Medium HDL
M_HDL_C,0.0375,0.89,mmol/l,9,Medium HDL
M_HDL_CE,0.0368,0.89,mmol/l,9,Medium HDL
M_HDL_FC,0.0415,0.9,mmol/l,9,Medium HDL
M_HDL_TG,0.037000000000000005,0.94,mmol/l,9,Medium HDL
S_HDL_P,0.0322,0.74,mmol/l,7,Small HDL
S_HDL_L,0.029300000000000003,0.79,mmol/l,7,Small HDL
S_HDL_PL,0.027200000000000002,0.82,mmol/l,7,Small HDL
S_HDL_C,0.034300000000000004,0.73,mmol/l,7,Small HDL
S_HDL_CE,0.035,0.74,mmol/l,7,Small HDL
S_HDL_FC,0.0329,0.75,mmol/l,7,Small HDL
S_HDL_TG,0.0265,0.96,mmol/l,7,Small HDL
XXL_VLDL_PL_pct,0.0275,0.72,%,,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_C_pct,0.0603,0.65,%,,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_CE_pct,0.0913,0.55,%,,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_FC_pct,0.0394,0.75,%,,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_TG_pct,0.0375,0.74,%,,Chylomicrons and extremely large VLDL ratios
XL_VLDL_PL_pct,0.0202,0.73,%,,Very large VLDL ratios
XL_VLDL_C_pct,0.019,0.95,%,,Very large VLDL ratios
XL_VLDL_CE_pct,0.0311,0.93,%,,Very large VLDL ratios
XL_VLDL_FC_pct,0.0218,0.81,%,,Very large VLDL ratios
XL_VLDL_TG_pct,0.015300000000000001,0.92,%,,Very large VLDL ratios
L_VLDL_PL_pct,0.0127,0.95,%,,Large VLDL ratios
L_VLDL_C_pct,0.0206,0.89,%,,Large VLDL ratios
L_VLDL_CE_pct,0.025099999999999997,0.92,%,,Large VLDL ratios
L_VLDL_FC_pct,0.0167,0.81,%,,Large VLDL ratios
L_VLDL_TG_pct,0.0152,0.88,%,,Large VLDL ratios
M_VLDL_PL_pct,0.0104,0.92,%,,Medium VLDL ratios
M_VLDL_C_pct,0.0222,0.96,%,,Medium VLDL ratios
M_VLDL_CE_pct,0.0334,0.97,%,,Medium VLDL ratios
M_VLDL_FC_pct,0.0163,0.93,%,,Medium VLDL ratios
M_VLDL_TG_pct,0.0174,0.95,%,,Medium VLDL ratios
S_VLDL_PL_pct,0.006500000000000001,0.97,%,,Small VLDL ratios
S_VLDL_C_pct,0.013000000000000001,0.95,%,,Small VLDL ratios
S_VLDL_CE_pct,0.016399999999999998,0.91,%,,Small VLDL ratios
S_VLDL_FC_pct,0.0116,0.97,%,,Small VLDL ratios
S_VLDL_TG_pct,0.0159,0.96,%,,Small VLDL ratios
XS_VLDL_PL_pct,0.0075,0.75,%,,Very small VLDL ratios
XS_VLDL_C_pct,0.010700000000000001,0.94,%,,Very small VLDL ratios
XS_VLDL_CE_pct,0.0134,0.95,%,,Very small VLDL ratios
XS_VLDL_FC_pct,0.0067,0.86,%,,Very small VLDL ratios
XS_VLDL_TG_pct,0.024399999999999998,0.93,%,,Very small VLDL ratios
IDL_PL_pct,0.0076,0.84,%,,IDL ratios
IDL_C_pct,0.0051,0.94,%,,IDL ratios
IDL_CE_pct,0.0063,0.93,%,,IDL ratios
IDL_FC_pct,0.0151,0.77,%,,IDL ratios
IDL_TG_pct,0.025,0.96,%,,IDL ratios
L_LDL_PL_pct,0.008100000000000001,0.77,%,,Large LDL ratios
L_LDL_C_pct,0.0034000000000000002,0.9,%,,Large LDL ratios
L_LDL_CE_pct,0.005699999999999999,0.74,%,,Large LDL ratios
L_LDL_FC_pct,0.0078000000000000005,0.95,%,,Large LDL ratios
L_LDL_TG_pct,0.024300000000000002,0.95,%,,Large LDL ratios
M_LDL_PL_pct,0.0075,0.77,%,,Medium LDL ratios
M_LDL_C_pct,0.0042,0.84,%,,Medium LDL ratios
M_LDL_CE_pct,0.0077,0.84,%,,Medium LDL ratios
M_LDL_FC_pct,0.0104,0.95,%,,Medium LDL ratios
M_LDL_TG_pct,0.0259,0.95,%,,Medium LDL ratios
S_LDL_PL_pct,0.0127,0.8,%,,Small LDL ratios
S_LDL_C_pct,0.0069,0.79,%,,Small LDL ratios
S_LDL_CE_pct,0.0088,0.86,%,,Small LDL ratios
S_LDL_FC_pct,0.0123,0.95,%,,Small LDL ratios
S_LDL_TG_pct,0.021400000000000002,0.97,%,,Small LDL ratios
XL_HDL_PL_pct,0.020499999999999997,0.86,%,,Very large HDL ratios
XL_HDL_C_pct,0.0132,0.86,%,,Very large HDL ratios
XL_HDL_CE_pct,0.0176,0.76,%,,Very large HDL ratios
XL_HDL_FC_pct,0.018600000000000002,0.95,%,,Very large HDL ratios
XL_HDL_TG_pct,0.0473,0.92,%,,Very large HDL ratios
L_HDL_PL_pct,0.005,0.96,%,,Large HDL ratios
L_HDL_C_pct,0.0096,0.97,%,,Large HDL ratios
L_HDL_CE_pct,0.0125,0.96,%,,Large HDL ratios
L_HDL_FC_pct,0.0113,0.94,%,,Large HDL ratios
L_HDL_TG_pct,0.042199999999999994,0.96,%,,Large HDL ratios
M_HDL_PL_pct,0.0043,0.89,%,,Medium HDL ratios
M_HDL_C_pct,0.0075,0.94,%,,Medium HDL ratios
M_HDL_CE_pct,0.0079,0.94,%,,Medium HDL ratios
M_HDL_FC_pct,0.009899999999999999,0.94,%,,Medium HDL ratios
M_HDL_TG_pct,0.0342,0.96,%,,Medium HDL ratios
S_HDL_PL_pct,0.0037,0.89,%,,Small HDL ratios
S_HDL_C_pct,0.0074,0.91,%,,Small HDL ratios
S_HDL_CE_pct,0.009300000000000001,0.92,%,,Small HDL ratios
S_HDL_FC_pct,0.0054,0.95,%,,Small HDL ratios
S_HDL_TG_pct,0.0233,0.97,%,,Small HDL ratios
